symboling,marca,carburante,aspirazione,porte,trazione,lunghezza,larghezza,altezza,peso,cilindri,cilindrata,cavalli,mpgcitta,mpgautostrada,prezzo
3,alfa-romero,gas,std,2,rwd,168.8,64.1,48.8,2548,4,130,111,21,27,13495
3,alfa-romero,gas,std,2,rwd,168.8,64.1,48.8,2548,4,130,111,21,27,16500
1,alfa-romero,gas,std,2,rwd,171.2,65.5,52.4,2823,6,152,154,19,26,16500
2,audi,gas,std,4,fwd,176.6,66.2,54.3,2337,4,109,102,24,30,13950
2,audi,gas,std,4,4wd,176.6,66.4,54.3,2824,5,136,115,18,22,17450
2,audi,gas,std,2,fwd,177.3,66.3,53.1,2507,5,136,110,19,25,15250
1,audi,gas,std,4,fwd,192.7,71.4,55.7,2844,5,136,110,19,25,17710
1,audi,gas,std,4,fwd,192.7,71.4,55.7,2954,5,136,110,19,25,18920
1,audi,gas,turbo,4,fwd,192.7,71.4,55.9,3086,5,131,140,17,20,23875
0,audi,gas,turbo,2,4wd,178.2,67.9,52,3053,5,131,160,16,22,11000
2,bmw,gas,std,2,rwd,176.8,64.8,54.3,2395,4,108,101,23,29,16430
0,bmw,gas,std,4,rwd,176.8,64.8,54.3,2395,4,108,101,23,29,16925
0,bmw,gas,std,2,rwd,176.8,64.8,54.3,2710,6,164,121,21,28,20970
0,bmw,gas,std,4,rwd,176.8,64.8,54.3,2765,6,164,121,21,28,21105
1,bmw,gas,std,4,rwd,189,66.9,55.7,3055,6,164,121,20,25,24565
0,bmw,gas,std,4,rwd,189,66.9,55.7,3230,6,209,182,16,22,30760
0,bmw,gas,std,2,rwd,193.8,67.9,53.7,3380,6,209,182,16,22,41315
0,bmw,gas,std,4,rwd,197,70.9,56.3,3505,6,209,182,15,20,36880
2,chevrolet,gas,std,2,fwd,141.1,60.3,53.2,1488,3,61,48,47,53,5151
1,chevrolet,gas,std,2,fwd,155.9,63.6,52,1874,4,90,70,38,43,6295
0,chevrolet,gas,std,4,fwd,158.8,63.6,52,1909,4,90,70,38,43,6575
1,dodge,gas,std,2,fwd,157.3,63.8,50.8,1876,4,90,68,37,41,5572
1,dodge,gas,std,2,fwd,157.3,63.8,50.8,1876,4,90,68,31,38,6377
1,dodge,gas,turbo,2,fwd,157.3,63.8,50.8,2128,4,98,102,24,30,7957
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1967,4,90,68,31,38,6229
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1989,4,90,68,31,38,6692
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1989,4,90,68,31,38,7609
1,dodge,gas,turbo,4,fwd,157.3,63.8,50.6,2191,4,98,102,24,30,8558
-1,dodge,gas,std,4,fwd,174.6,64.6,59.8,2535,4,122,88,24,30,8921
3,dodge,gas,turbo,2,fwd,173.2,66.3,50.2,2811,4,156,145,19,24,12964
2,honda,gas,std,2,fwd,144.6,63.9,50.8,1713,4,92,58,49,54,6479
2,honda,gas,std,2,fwd,144.6,63.9,50.8,1819,4,92,76,31,38,6855
1,honda,gas,std,2,fwd,150,64,52.6,1837,4,79,60,38,42,5399
1,honda,gas,std,2,fwd,150,64,52.6,1940,4,92,76,30,34,6529
1,honda,gas,std,2,fwd,150,64,52.6,1956,4,92,76,30,34,7129
0,honda,gas,std,4,fwd,163.4,64,54.5,2010,4,92,76,30,34,7295
0,honda,gas,std,4,fwd,157.1,63.9,58.3,2024,4,92,76,30,34,7295
0,honda,gas,std,2,fwd,167.5,65.2,53.3,2236,4,110,86,27,33,7895
0,honda,gas,std,2,fwd,167.5,65.2,53.3,2289,4,110,86,27,33,9095
0,honda,gas,std,4,fwd,175.4,65.2,54.1,2304,4,110,86,27,33,8845
0,honda,gas,std,4,fwd,175.4,62.5,54.1,2372,4,110,86,27,33,10295
0,honda,gas,std,4,fwd,175.4,65.2,54.1,2465,4,110,101,24,28,12945
1,honda,gas,std,2,fwd,169.1,66,51,2293,4,110,100,25,31,10345
0,isuzu,gas,std,4,rwd,170.7,61.8,53.5,2337,4,111,78,24,29,6785
1,isuzu,gas,std,2,fwd,155.9,63.6,52,1874,4,90,70,38,43,11000
0,isuzu,gas,std,4,fwd,155.9,63.6,52,1909,4,90,70,38,43,11000
2,isuzu,gas,std,2,rwd,172.6,65.2,51.4,2734,4,119,90,24,29,11048
0,jaguar,gas,std,4,rwd,199.6,69.6,52.8,4066,6,258,176,15,19,32250
0,jaguar,gas,std,4,rwd,199.6,69.6,52.8,4066,6,258,176,15,19,35550
0,jaguar,gas,std,2,rwd,191.7,70.6,47.8,3950,8,326,262,13,17,36000
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1890,4,91,68,30,31,5195
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1900,4,91,68,31,38,6095
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1905,4,91,68,31,38,6795
1,mazda,gas,std,4,fwd,166.8,64.2,54.1,1945,4,91,68,31,38,6695
1,mazda,gas,std,4,fwd,166.8,64.2,54.1,1950,4,91,68,31,38,7395
3,mazda,gas,std,2,rwd,169,65.7,49.6,2380,2,70,101,17,23,10945
3,mazda,gas,std,2,rwd,169,65.7,49.6,2380,2,70,101,17,23,11845
3,mazda,gas,std,2,rwd,169,65.7,49.6,2385,2,70,101,17,23,13645
3,mazda,gas,std,2,rwd,169,65.7,49.6,2500,2,80,135,16,23,15645
1,mazda,gas,std,2,fwd,177.8,66.5,53.7,2385,4,122,84,26,32,8845
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2410,4,122,84,26,32,8495
1,mazda,gas,std,2,fwd,177.8,66.5,53.7,2385,4,122,84,26,32,10595
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2410,4,122,84,26,32,10245
0,mazda,diesel,std,4,fwd,177.8,66.5,55.5,2443,4,122,64,36,42,10795
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2425,4,122,84,26,32,11245
0,mazda,gas,std,4,rwd,175,66.1,54.4,2670,4,140,120,19,27,18280
0,mazda,diesel,std,4,rwd,175,66.1,54.4,2700,4,134,72,31,39,18344
-1,mercedes-benz,diesel,turbo,4,rwd,190.9,70.3,56.5,3515,5,183,123,22,25,25552
